Team/School,Sport,League,Stadium,Capacity,City,State,lat,lon
Norwich Sea Unicorns,Baseball,Futures League,Dodd Stadium,6270,Norwich,CT,41.574519,-72.1061116
Roots,Soccer,USL Championship,Oakland Coliseum,63000,Oakland,CA,37.7516333,-122.2004749
Ballers,Baseball,Pioneer League,Raimondi Park,4000,Oakland,CA,37.8160687,-122.2937912
G,Basketball,League,Frontwave Arena,6190,Oceanside,CA,33.2074609,-117.3147323
University of Texas of the Permian Basin,Football,,Ratliff Stadium,17931,Odessa,TX,31.9208888,-102.3645399
Jackalopes,Hockey,NAHL,Ector County Coliseum,4725,Odessa,TX,31.884174,-102.3883714
Hoots,Baseball,Prospect League,CarShield Field,4989,O'Fallon,MO,38.8205169,-90.6808043
Weber State University,Football,,Stewart Stadium,13441,Ogden,UT,41.1918967,-111.9400685
Weber State University,Basketball,,Dee Events Center,11500,Ogden,UT,41.1823566,-111.945007
Raptors,Baseball,Pioneer League,Lindquist Field,6700,Ogden,UT,41.2240645,-111.9749209
Thunder,Basketball,NBA,Paycom Center,18203,Oklahoma City,OK,35.4633961,-97.5150815
Dodgers,Baseball,PCL,Chickasaw Bricktown Ballpark,13066,Oklahoma City,OK,35.4650912,-97.508646
NCAA Championship,,Softball,USA Softball Hall of Fame Stadium,13000,Oklahoma City,OK,,
High School Championship,Basketball,,OG&E Coliseum,4500,Oklahoma City,OK,,
St. Bonaventure University,Basketball,,Reilly Center,4850,Olean,NY,,
College World Series,Baseball,,Charles Schwab Field Omaha,24000,Omaha,NE,41.2669678,-95.9325486
Creighton University,Basketball,,CHI Health Center Omaha,17352,Omaha,NE,41.2636669,-95.9279385
University of Nebraska - Omaha,Hockey,,Baxter Arena,7898,Omaha,NE,41.2361164,-96.0130109
Reign,Hockey,AHL,Toyota Arena,9491,Ontario,CA,34.0730219,-117.566315
South Carolina State University,Football,,Oliver C. Dawson Stadium,22000,Orangeburg,SC,33.49865,-80.8447234
Buffalo Bills,Football,NFL,Highmark Stadium,71608,Orchard Park,NY,42.7737334,-78.7868798
Utah Valley University,Basketball,,UCCU Center,8500,Orem,UT,40.2789369,-111.7184935
Citrus Bowl,Football,,Camping World Stadium,60219,Orlando,FL,28.5390398,-81.4027504
University of Central Florida,Football,,Acrisure Bounce House,44206,Orlando,FL,,
Orlando City SC,Soccer,MLS,Inter&Co Stadium,25500,Orlando,FL,28.5411041,-81.3891411
Magic,Basketball,NBA,Kia Center,18486,Orlando,FL,28.5392867,-81.3838892
University of Central Florida,Basketball,,Addition Financial Arena,10000,Orlando,FL,28.6073409,-81.1972969
University of Maine,Football,,Alfond Stadium,10000,Orono,ME,44.9050494,-68.6717548
University of Maine,Hockey,,Alfond Arena,5124,Orono,ME,44.9045516,-68.6736163
University of Maine,Baseball,,Mahaney Diamond,4400,Orono,ME,44.9051772,-68.6699786
Generals,Hockey,OHL,Tribute Communities Centre,5180,Oshawa,ON,,
University of Wisconsin - Oshkosh,Football,,Titan Stadium,9800,Oshkosh,WI,44.0236524,-88.5631868
University of Wisconsin - Oshkosh,Basketball,,Kolf Sports Center,5600,Oshkosh,WI,44.0244086,-88.5523665
G,Basketball,League,Oshkosh Arena,3500,Oshkosh,WI,44.0069734,-88.5371296
RedBlacks,Football,CFL,TD Place Stadium,24000,Ottawa,ON,,
Senators,Hockey,NHL,Canadian Tire Centre,17373,Ottawa,ON,,
Titans,Baseball,Frontier League,Ottawa Stadium,10332,Ottawa,ON,,
67’s,Hockey,OHL,TD Place Arena,9862,Ottawa,ON,,
Kentucky Wesleyan College,Basketball,,Owensboro Sportscenter,4817,Owensboro,KY,37.7626974,-87.126199
University of Mississippi,Football,,Vaught-Hemingway Stadium,64038,Oxford,MS,34.3619818,-89.5341523
University of Mississippi,Baseball,,Swayze Field,11477,Oxford,MS,,
University of Mississippi,Basketball,,SJB Pavilion,9500,Oxford,MS,,
Miami University,Football,,Yager Stadium,24286,Oxford,OH,39.5194147,-84.7330855
Miami University,Basketball,,Millett Hall,6400,Oxford,OH,39.5172372,-84.7345539
Miami University,Hockey,,Steve Cady Arena,3642,Oxford,OH,,
Coachella Valley Firebirds,Hockey,AHL,Acrisure Arena,10087,Palm Desert,CA,33.7797941,-116.340545
Stanford University,Football,,Stanford Stadium,50424,Palo Alto,CA,,
Stanford University,Basketball,,Maples Pavilion,7233,Palo Alto,CA,,
High School Playoffs,Basketball,,Paoli Gymnasium,4200,Paoli,IN,,
Omaha Storm Chasers,Baseball,IL,Werner Park,9023,Papillion,NE,41.1499292,-96.0990694
Wichita Wings,Indoor Soccer,MASL2,Heartland Credit Union Arena,5000,Park City,KS,,
UCLA,Football,,Rose Bowl Stadium,91136,Pasadena,CA,34.1613492,-118.1676674
City Dust Devils,Baseball,Northwest League,Gesa Stadium,3700,Pasco,WA,46.2663193,-119.1719239
New Jersey Jackals,Baseball,,Hinchliffe Stadium,10000,Paterson,NJ,40.9183803,-74.1813221
Rhode Island FC,Soccer,USL Champ.,Centreville Bank Stadium,10700,Pawtucket,RI,41.8691572,-71.3829948
Mississippi Braves,Baseball,Southern League,Trustmark Park,8480,Pearl,MS,32.2732721,-90.1478485
Birmingham Bulls,Hockey,SPHL,Pelham Civic Complex,4000,Pelham,MS,,
Ice Flyers,Hockey,SPHL,Pensacola Bay Center,8150,Pensacola,FL,30.4163944,-87.2089495
Blue Wahoos,Baseball,Southern League,Blue Wahoos Stadium,5038,Pensacola,FL,30.4043769,-87.2189437
Vees,Hockey,WHL,South Okanagan Events Centre,4701,Penticton,BC,,
Seattle Mariners - Baseball,Spring Training,,Peoria Sports Complex,7833,Peoria,AZ,33.6301814,-112.2321332
Bradley University,Basketball,,Carver Arena,11060,Peoria,IL,40.6918613,-89.5935532
Chiefs,Baseball,Midwest League,Dozer Park,7500,Peoria,IL,40.6874697,-89.5977653
Bradley University,,Volleyball,Renaissance Coliseum,4200,Peoria,IL,40.6991524,-89.6179594
Petes,Hockey,OHL,Peterborough Memorial Centre,3694,Peterborough,ON,,
Eagles,Football,NFL,Lincoln Financial Field,69596,Philadelphia,PA,39.9009099,-75.1674892
University of Pennsylvania,Football,,Franklin Field,52958,Philadelphia,PA,39.950067,-75.1899748
Phillies,Baseball,MLB,Citizens Bank Park,43035,Philadelphia,PA,39.9059221,-75.1664804
Flyers,Hockey,NHL,Xfinity Mobile Arena,19600,Philadelphia,PA,39.9011004,-75.1720165
Temple University,Basketball,,Liacouras Center,10206,Philadelphia,PA,39.9798139,-75.1585825
University of Pennsylvania,Basketball,,The Palestra,8722,Philadelphia,PA,39.9514018,-75.1886362
Saint Joseph’s University,Basketball,,Hagan Arena,3800,Philadelphia,PA,39.9956149,-75.234862
Temple University,,Volleyball,McGonigle Hall,3900,Philadelphia,PA,39.9806923,-75.1583676
Arizona Diamondbacks,Baseball,MLB,Chase Field,48686,Phoenix,AZ,33.4454856,-112.0666928
Suns,Basketball,NBA,Mortgage Matchup Center,18422,Phoenix,AZ,33.4460392,-112.0711013
Phoenix Rising,Soccer,USL Champ.,Phoenix Rising Soccer Stadium,10000,Phoenix,AZ,33.445136,-112.0017948
Brewers - Baseball,Spring Training,,American Family Fields of Phoenix,8000,Phoenix,AZ,33.4907416,-112.1721282
Grand Canyon University,Basketball,,Global Credit Union Arena,7000,Phoenix,AZ,,
Arizona State University,Baseball,,Phoenix Municipal Stadium,5300,Phoenix,AZ,33.4492717,-111.9542209
Grand Canyon University,Baseball,,GCU Ballpark,4000,Phoenix,AZ,,
Pikeville College,Basketball,,Appalachian Wireless Arena,5272,Pikeville,KY,37.4778216,-82.5172277
University of Arkansas at Pine Bluff,Football,,Simmons Bank Field,16000,Pine Bluff,AR,,
High School Playoffs,Football,,Alexander Stadium,8200,Piqua,OH,40.162374,-84.2099164
Rutgers University,Football,,SHI Stadium,52454,Piscataway,NJ,40.5135037,-74.4651433
Rutgers University,Basketball,,Jersey Mike’s Arena,8000,Piscataway,NJ,40.5251962,-74.441356
Steelers,Football,NFL,Acrisure Stadium,68400,Pittsburgh,PA,40.4467166,-80.0157199
Pirates,Baseball,MLB,PNC Park,38362,Pittsburgh,PA,40.4469258,-80.0056063
Penguins,Hockey,NHL,PPG Paints Arena,18187,Pittsburgh,PA,40.4395912,-79.9895408
University of Pittsburgh,Basketball,,Petersen Events Center,12508,Pittsburgh,PA,40.4440003,-79.9621193
University of Pittsburgh,,Volleyball,Fitzgerald Field House,4122,Pittsburgh,PA,40.4435157,-79.9641039
Duquense University,Basketball,,UPMC Cooper Fieldhouse,3500,Pittsburgh,PA,,
University of Wisconsin - Platteville,Football,,Pioneer Stadium,10000,Platteville,WI,42.7278733,-90.486869
Team USA,Hockey,USHL,USA Hockey Arena,3504,Plymouth,MI,42.3893748,-83.5063787
Idaho State University,Football,,ICCU Dome,10500,Pocatello,ID,42.8699857,-112.4285589
Eastern New Mexico University,Basketball,,Greyhound Arena,4800,Portales,NM,34.1803479,-103.351175
Tampa Bay Rays - Baseball,Spring Training,,Charlotte Sports Park,6000,Port Charlotte,FL,,
Sea Dogs,Baseball,Eastern League,Hadlock Field,7368,Portland,ME,43.6567752,-70.2782328
Maine Mariners,Hockey,ECHL,Cross Insurance Arena,5327,Portland,ME,43.6555281,-70.2593331
Timbers,Soccer,MLS,Providence Park,25218,Portland,OR,45.5215291,-122.6918185
Trail Blazers,Basketball,NBA,Moda Center,19980,Portland,OR,45.5315787,-122.6668337
Winterhawks,Hockey,WHL,Veterans Memorial Coliseum,9122,Portland,OR,45.5321443,-122.6694032
University of Portland,Basketball,,Chiles Center,4852,Portland,OR,45.5750984,-122.7285328
Mets,Baseball,Florida State League,Clover Park,7160,Port St. Lucie,FL,27.3251092,-80.4046811
High School Playoffs,Basketball,,Martz Hall,4100,Pottsville,PA,40.6821475,-76.2125218
Prairie View A&M University,Football,,Panther Stadium,15000,Prairie View,TX,30.0911783,-95.9943667
Prairie View A&M University,Basketball,,William Nicks Building,4000,Prairie View,TX,,
Cougars,Hockey,WHL,CN Centre,5889,Prince George,BC,,
Princeton University,Football,,Princeton Stadium,27800,Princeton,NJ,40.345776,-74.6499824
Princeton University,Basketball,,Jadwin Gymnasium,6854,Princeton,NJ,40.3434085,-74.6486474
N. Arizona Wranglers,Indoor Football,IFL,Findlay Toyota Center,5100,Prescott Valley,AZ,34.5891204,-112.3361581
Brown University,Football,,Brown Stadium,20000,Providence,RI,41.8424794,-71.3945411
Bruins,Hockey,AHL,Amica Mutual Pavilion,11273,Providence,RI,41.8236194,-71.4180896
BYU,Football,,LaVell Edwards Stadium,62073,Provo,UT,40.2575633,-111.654584
BYU,Basketball,,Marriott Center,17978,Provo,UT,40.2538635,-111.6493456
BYU,,Volleyball,Smith Fieldhouse,5000,Provo,UT,40.2474534,-111.6543786
Colorado State University - Pueblo,Basketball,,Massari Arena,3900,Pueblo,CO,38.309303,-104.5754996
Washington State University,Football,,Gesa Field,32952,Pullman,WA,46.7318286,-117.1604394
Washington State University,Basketball,,Beasley Coliseum,11671,Pullman,WA,46.735244,-117.1581126
Washington State University,Baseball,,Bailey-Brayton Field,3500,Pullman,WA,46.7349006,-117.155242
Remparts,Hockey,QMJHL,Videotron Centre,18259,Québec City,QC,,
Capitales,Baseball,Frontier League,Canac Stadium,4300,Québec City,QC,,
New York Mets,Baseball,MLB,Citi Field,41922,Queens,NY,40.7572778,-73.8458788
US Open,Tennis,ATP,Arthur Ashe Stadium,23771,Queens,NY,40.7498962,-73.8470428
US Open,Tennis,ATP,Louis Armstrong Stadium,14053,Queens,NY,40.7510137,-73.8454137
US Open,Tennis,ATP,Grandstand,8125,Queens,NY,40.7480317,-73.8478749
St. John's University,Basketball,,Carnesecca Arena,5602,Queens,NY,,
St. John's University,Baseball,,Jack Kaiser Stadium,3500,Queens,NY,,
North Carolina State University,Football,,Carter-Finley Stadium,56919,Raleigh,NC,35.8008464,-78.7196045
Carolina Hurricanes,Hockey,NHL,Lenovo Center,18680,Raleigh,NC,35.803398,-78.7219166
North Carolina State University,,Volleyball,Reynolds Coliseum,5500,Raleigh,NC,35.7835138,-78.6699065
Omaha Lancers,Hockey,USHL,Liberty First Credit Union Arena,4000,Ralston,NE,,
New York Boulders,Baseball,Frontier League,Clover Stadium,4500,Ramapo,NY,41.1702077,-74.038499
Quakes,Baseball,California League,LoanMart Field,6588,Rancho Cucamonga,CA,,
Rush,Hockey,ECHL,Ice Arena at The Monument,5119,Rapid City,SD,,
Fightin Phils,Baseball,Eastern League,FirstEnergy Stadium,9000,Reading,PA,40.3657177,-75.9337357
Royals,Hockey,ECHL,Santander Arena,7200,Reading,PA,40.3348208,-75.9230525
Rebels,Hockey,WHL,Peavey Mart Centrium,7051,Red Deer,AB,,
Oregon Lightning,Arena Football,AF1,First Interstate Bank Center,4000,Redmond,OR,44.2353773,-121.1834226
Saskatchewan Roughriders,Football,CFL,Mosaic Stadium,33000,Regina,SK,,
Pats,Hockey,WHL,Brandt Centre,6754,Regina,SK,,
University of Nevada,Football,,Mackay Stadium,30000,Reno,NV,39.5468915,-119.817398
University of Nevada,Basketball,,Lawlor Events Center,11536,Reno,NV,39.5450739,-119.8183009
Aces,Baseball,PCL,Greater Nevada Field,9013,Reno,NV,39.5287704,-119.8090991
High School Championship,Basketball,,Sevier Valley Center,4144,Richfield,UT,38.7672312,-112.0968127
Eastern Kentucky University,Football,,Roy Kidd Stadium,20000,Richmond,KY,37.7344174,-84.2975349
Eastern Kentucky University,Basketball,,Baptist Health Arena,6500,Richmond,KY,,
Kickers,Soccer,USL League One,City Stadium,22611,Richmond,VA,37.5497879,-77.486497
Virginia Union University,Football,,Hovey Field,10000,Richmond,VA,37.561265,-77.4487731
Flying Squirrels,Baseball,Eastern League,The Diamond,9560,Richmond,VA,37.5717189,-77.4632449
University of Richmond,Football,,Robins Stadium,8200,Richmond,VA,37.5804419,-77.5364652
VCU,Basketball,,Siegel Center,7637,Richmond,VA,37.5528754,-77.4528272
University of Richmond,Basketball,,Robins Center,7201,Richmond,VA,37.5806819,-77.538943
Océanic,Hockey,QMJHL,Sun Life Financial Coliseum,3778,Rimouski,QC,,
California Baptist University,Basketball,,Fowler Events Center,5050,Riverside,CA,,
Rail Yard Dawgs,Hockey,SPHL,Berglund Center,8672,Roanoke,VA,37.280101,-79.935814
Oakland University,Basketball,,OU Credit Union O’rena,4000,Rochester Hills,MI,,
High School Playoffs,Basketball,,Mayo Civic Center,5200,Rochester,MN,44.0223946,-92.4585673
Flower City Union,Soccer,NPSL,Rochester Community Sports Complex,13768,Rochester,NY,,
Americans,Hockey,AHL,Blue Cross Arena,10662,Rochester,NY,43.1537479,-77.6108263
Red Wings,Baseball,IL,Innovative Field,10840,Rochester,NY,43.1583013,-77.6197667
IceHogs,Hockey,AHL,BMO Center,5895,Rockford,IL,42.2702188,-89.096132
Winthrop University,Basketball,,Winthrop Coliseum,6100,Rock Hill,SC,34.9481423,-81.0149231
Braves,Baseball,South Atlantic League,AdventHealth Stadium,5105,Rome,GA,,
Chicago Wolves,Hockey,AHL,Allstate Arena,16692,Rosemont,IL,42.0052766,-87.8877714
Chicago Dogs,Baseball,American Association,Impact Field,6300,Rosemont,IL,41.9781088,-87.8710889
Express,Baseball,PCL,Dell Diamond,8631,Round Rock,TX,30.5277319,-97.6308393
Arkansas Tech University,Basketball,,Tucker Coliseum,3500,Russellville,AR,35.2952416,-93.1324367
Louisiana Tech University,Football,,Joe Aillet Stadium,28562,Ruston,LA,32.5320136,-92.6559397
Louisiana Tech University,Basketball,,Thomas Assembly Center,8000,Ruston,LA,32.5320734,-92.6584855
Sacramento City College,Football,,Hughes Stadium,23000,Sacramento,CA,38.5407719,-121.4862621
Sacramento State University,Football,,Hornet Stadium,21195,Sacramento,CA,38.5556698,-121.4229535
Kings,Basketball,NBA,Golden1 Center,17608,Sacramento,CA,,
Republic FC,Soccer,USL Championship,Heart Health Park,11442,Sacramento,CA,38.5913512,-121.4380099
Spirit,Hockey,OHL,Dow Event Center,4213,Saginaw,MI,43.4356479,-83.9360948
Sea Dogs,Hockey,QMJHL,TD Station,5990,Saint John,NB,,
Red Sox,Baseball,Carolina League,Salem Memorial Ballpark,6300,Salem,VA,,
ODAC Championship,Basketball,,Salem Civic Center,5000,Salem,VA,37.285413,-80.0394842
Liberty,Indoor Football,AF1,Tony’s Pizza Event Center,4965,Salina,KS,,
Delmarva Shorebirds,Baseball,SA League,Arthur W. Perdue Stadium,5200,Salisbury,MD,38.3698894,-75.5306755
University of Utah,Football,,Rice-Eccles Stadium,51144,Salt Lake City,UT,40.7598537,-111.8489195
Utah Jazz,Basketball,NBA,Delta Center,18175,Salt Lake City,UT,40.7683274,-111.9010551
University of Utah,Basketball,,Jon M. Huntsman Center,15000,Salt Lake City,UT,40.7620351,-111.8387946
Angelo State University,Basketball,,Stephens Arena,5500,San Angelo,TX,,
Angelo State University,Baseball,,Foster Field,4200,San Angelo,TX,31.4359596,-100.4535662
UTSA,Football,,Alamodome,62834,San Antonio,TX,29.4168923,-98.4788949
Spurs,Basketball,NBA,Frost Bank Center,18418,San Antonio,TX,29.4269205,-98.4375058
Gunslingers,Indoor Football,IFL,Freeman Coliseum,9000,San Antonio,TX,29.4269468,-98.4393948
San Antonio FC,Soccer,USL Championship,Toyota Field,8400,San Antonio,TX,29.539419,-98.394641
Missions,Baseball,Texas League,Nelson Wolff Municipal Stadium,6200,San Antonio,TX,29.4092173,-98.6011793
UTSA,Football,,Convocation Center,4080,San Antonio,TX,29.5823847,-98.6214961
St. Mary’s University,Basketball,,Bill Greehey Arena,3800,San Antonio,TX,29.4516857,-98.5640015
Inland Empire 66ers,Baseball,Cali. League,San Manuel Stadium,5000,San Bernardino,CA,34.0967483,-117.2964218
Cal State University San Bernardino,Basketball,,Coussoulis Arena,4140,San Bernardino,CA,34.1827714,-117.3195927
Cal State University San Bernardino,Baseball,,Fiscalini Field,3600,San Bernardino,CA,34.1351859,-117.2634696
Padres,Baseball,MLB,Petco Park,40209,San Diego,CA,32.7071874,-117.156913
San Diego State University,Football,,Snapdragon Stadium,35000,San Diego,CA,32.7842418,-117.1223904
Gulls,Hockey,AHL,Pechanga Arena,12920,San Diego,CA,32.7553042,-117.2122696
San Diego State University,Basketball,,Viejas Arena,12414,San Diego,CA,32.7738109,-117.0745404
University of San Diego,Basketball,,Jenny Craig Pavilion,5100,San Diego,CA,32.7744602,-117.183717
UC San Diego,Basketball,,LionTree Arena,4000,San Diego,CA,,
Real Salt Lake,Soccer,MLS,America First Field,20000,Sandy,UT,40.5829533,-111.893312
Giants,Baseball,MLB,Oracle Park,41915,San Francisco,CA,37.7786059,-122.3894716
Golden State Warriors,Basketball,NBA,Chase Center,18064,San Francisco,CA,37.7679001,-122.3874223
San Francisco City FC,Soccer,USL League Two,Kezar Stadium,9044,San Francisco,CA,37.766867,-122.4560097
Academy of Art University,Basketball,,Kezar Pavilion,4000,San Francisco,CA,37.7675098,-122.4539144
San Jose State University,Football,,CEFCU Stadium,19000,San Jose,CA,37.3196895,-121.8683139
Earthquakes,Soccer,MLS,PayPal Park,18000,San Jose,CA,37.3513087,-121.924672
Sharks,Hockey,NHL,SAP Center,17562,San Jose,CA,37.3328604,-121.9012247
Giants,Baseball,California League,Excite Ballpark,5200,San Jose,CA,37.3206075,-121.8624134
San Jose St University,Basketball,,Provident Credit Union Event Center,5000,San Jose,CA,,
Barracuda,Hockey,AHL,Tech CU Arena,4200,San Jose,CA,37.318608,-121.8634701
Cal Poly State University,Football,,Alex G. Spanos Stadium,11075,San Luis Obispo,CA,35.2984253,-120.665041
Texas State University,Football,,UFCU Stadium,28000,San Marcos,TX,29.8910592,-97.9255534
Texas State University,Basketball,,Strahan Arena,10000,San Marcos,TX,29.8885359,-97.9324419
San Francisco 49ers,Football,NFL,Levi’s Stadium,68500,Santa Clara,CA,37.4029867,-121.9696489
Santa Clara University,Basketball,,Leavey Center,4700,Santa Clara,CA,37.3491623,-121.9352305
Baltimore Orioles - Baseball,Spring Training,,Ed Smith Stadium,7500,Sarasota,FL,27.3476651,-82.5170451
Sting,Hockey,OHL,Progressive Auto Sales Arena,4118,Sarnia,ON,,
Blades,Hockey,WHL,SaskTel Centre,15150,Saskatoon,SK,,
Gateway Grizzlies,Baseball,Frontier League,Grizzlies Ballpark,6000,Sauget,IL,,
Lake Superior State University,Hockey,,Taffy Abel Arena,4000,Sault Ste. Marie,MI,,
Soo Greyhounds,Hockey,OHL,GFL Memorial Gardens,4409,Sault Ste. Marie,ON,,
Ghost Pirates,Hockey,ECHL,Enmarket Arena,6876,Savannah,GA,32.0741323,-81.1115591
Savannah State University,Football,,Theodore A. Wright Stadium,8500,Savannah,GA,,
Savannah State University,Basketball,,Tiger Arena,6000,Savannah,GA,32.0237767,-81.0658809
Boomers,Baseball,Frontier League,Wintrust Field,6465,Schaumburg,IL,41.9931054,-88.1177138
San Francisco Giants - Baseball,Spring Training,,Scottsdale Stadium,8188,Scottsdale,AZ,33.4886085,-111.9202046
AZ Dbacks - Baseball,Spring Training,,Salt River Fields at Talking Stick,7000,Scottsdale,AZ,33.5453845,-111.8852555
University of Washington,Football,,Husky Stadium,70138,Seattle,WA,47.6503736,-122.301976
Seahawks,Football,NFL,Lumen Field,67000,Seattle,WA,47.5953459,-122.3316443
Mariners,Baseball,MLB,T-Mobile Park,47898,Seattle,WA,47.5913974,-122.332507
Kraken,Hockey,NHL,Climate Pledge Arena,17100,Seattle,WA,47.6219014,-122.3539905
University of Washington,Basketball,,Alaska Airlines Arena,9268,Seattle,WA,47.6521785,-122.3021248
High School Playoffs,Basketball,,Lloyd E. Scott Gym,8228,Seymour,IN,,
Cataractes,Hockey,QMJHL,Gervais Auto Centre,4350,Shawinigan,QC,,
Phoenix,Hockey,QMJHL,Leopold Drolet Sports Palace,3707,Sherbrooke,QC,,
Independence Bowl,Football,,Independence Stadium,49565,Shreveport,LA,32.4756172,-93.7919843
Mudbugs,Hockey,NAHL,Hirsch Coliseum,4000,Shreveport,LA,32.4767584,-93.7894049
Musketeers,Hockey,USHL,Fleet Farm Arena,5800,Sioux City,IA,42.4913375,-96.4071659
Explorers,Baseball,American Association,Lewis & Clark Park,3800,Sioux City,IA,42.4433374,-96.3638385
Stampede,Hockey,USHL,Denny Sanford Premier Center,10678,Sioux Falls,SD,43.560799,-96.7513758
Canaries,Baseball,American Association,Sioux Falls Stadium,4462,Sioux Falls,SD,43.559711,-96.748874
Slippery Rock University,Football,,Mihalik-Thompson Stadium,10000,Slippery Rock,PA,,
High School Playoffs,Basketball,,The Coliseum,3890,Snyder,TX,,
G,Basketball,League,Landers Center,9000,Southaven,MS,34.9271019,-89.9965835
University of Notre Dame,Football,,Notre Dame Stadium,80795,South Bend,IN,41.6949987,-86.2272797
University of Notre Dame,Basketball,,Purcell Pavilion,9149,South Bend,IN,,
University of Notre Dame,Hockey,,Compton Family Ice Arena,5022,South Bend,IN,41.6938006,-86.2310586
Cubs,Baseball,Midwest League,Four Winds Field,5000,South Bend,IN,41.6704469,-86.2552628
Salt Lake Bees,Baseball,PCL,The Ballpark at America First Square,6500,South Jordan,UT,40.5496424,-112.0223733
Wofford College,Football,,Gibbs Stadium,13000,Spartanburg,SC,34.9620264,-81.9330264
Hub City Spartanbugers,Baseball,South Atlantic Lg,Fifth Third Park,3500,Spartanburg,SC,34.9457499,-81.9354694
Eastern Washington University,Football,,Albi Stadium,28646,Spokane,WA,,
Chiefs,Hockey,WHL,Spokane Arena,10366,Spokane,WA,47.6664718,-117.4231203
Indians,Baseball,Northwest League,Avista Stadium,6752,Spokane,WA,47.661411,-117.3445656
Gonzaga University,Basketball,,McCarthey Athletic Center,6000,Spokane,WA,47.6653904,-117.3991159
Northwest Arkansas Naturals,Baseball,Texas League,Arvest Ballpark,6500,Springdale,AR,36.1599519,-94.1942788
High School Playoffs,Basketball,,Bank of Springfield Center,7700,Springfield,IL,39.8010981,-89.644471
Lucky Horseshoes,Baseball,Prospect League,Robin Roberts Stadium,5200,Springfield,IL,39.8172079,-89.6366779
Thunderbirds,Hockey,AHL,MassMutual Center,6793,Springfield,MA,42.1019127,-72.587235
Missouri State University,Football,,Robert W. Plaster Stadium,17500,Springfield,MO,37.1976101,-93.2798754
Missouri State University,Basketball,,Great Southern Bank Arena,11000,Springfield,MO,,
Missouri State University,,Volleyball,Hammons Student Center,8846,Springfield,MO,37.2022705,-93.2845103
Cardinals,Baseball,Texas League,Hammons Field,7986,Springfield,MO,37.2115065,-93.2799584
Ozarks Lunkers,Indoor Football,The AL,Wilson Logistics Arena,4500,Springfield,MO,,
Tahoe Lake Monsters,Hockey,ECHL,Tahoe Blue Event Center,3898,Stateline,NV,38.9629413,-119.9382585
FerryHawks,Baseball,Atlantic League,SIUH Community Park,7171,Staten Island,NY,,
Niagara IceDogs,Hockey,OHL,Meridian Centre,5300,St. Catharines,ON,,
St. Louis Ambush,Indoor Soccer,MASL,Family Arena,10000,St. Charles,MO,38.7477816,-90.5093467
St. Cloud State University,Basketball,,Halenbeck Hall,6927,St. Cloud,MN,45.5482847,-94.1524442
St Cloud State University,Hockey,,Herb Brooks National Hockey Center,5159,St. Cloud,MN,45.5467254,-94.1521912
Utah Tech University,Football,,Greater Zion Stadium,8291,St. George,UT,37.0995461,-113.5673889
Utah Tech University,Basketball,,Burns Arena,4779,St. George,UT,37.1015093,-113.5670344
Newfoundland Regiment,Hockey,QMJHL,Mary Brown’s Centre,6287,St. John’s,NL,,
Missouri Western State University,,,Spratt Memorial Stadium,10000,St. Joseph,MO,39.7618868,-94.7859747
Kansas City Goats,Indoor Football,The AL,St. Joseph Civic Arena,3800,St. Joseph,MO,,
Mustangs,Baseball,MINK League,Phil Welch Stadium,3600,St. Joseph,MO,,
BattleHawks,Football,UFL,The Dome at America’s Center,66965,St. Louis,MO,38.6327852,-90.188551
Cardinals,Baseball,MLB,Busch Stadium,45529,St. Louis,MO,38.6225054,-90.1930037
St. Louis City SC,Soccer,MLS,Energizer Park,22500,St. Louis,MO,38.6313184,-90.2103075
Blues,Hockey,NHL,Enterprise Center,18096,St. Louis,MO,38.6268005,-90.20262
Saint Louis University,Basketball,,Chaifetz Arena,10600,St. Louis,MO,38.6325256,-90.2281769
Minnesota United FC,Soccer,MLS,Allianz Field,19400,St. Paul,MN,44.953139,-93.1646871
Minnesota Wild,Hockey,NHL,Grand Casino Arena,18300,St. Paul,MN,44.9447659,-93.1010851
Saints,Baseball,IL,CHS Field,7000,St. Paul,MN,44.9509276,-93.085204
University of St. Thomas,Basketball,,Lee and Penny Anderson Arena,5300,St. Paul,MN,44.9396574,-93.194434
Mississippi State University,Football,,Davis Wade Stadium,60331,Starkville,MS,,
Mississippi State University,Baseball,,Dudy Noble Field,15000,Starkville,MS,,
Mississippi State University,Basketball,,Humphrey Coliseum,9100,Starkville,MS,,
Penn State University,Football,,Beaver Stadium,106572,State College,PA,,
Penn State University,Basketball,,Bryce Jordan Center,15261,State College,PA,,
Penn State University,,Volleyball,Rec Hall,5812,State College,PA,40.795443,-77.8686329
Penn State University,Hockey,,Pegula Ice Arena,5704,State College,PA,,
Penn State University,Baseball,,Medlar Field at Lubrano Park,5406,State College,PA,,
Georgia Southern University,Football,,Allen E. Paulson Stadium,25000,Statesboro,GA,32.4121444,-81.7833368
Georgia Southern University,Basketball,,Hill Convocation Center,5500,Statesboro,GA,,
Georgia Southern University,,Volleyball,Hanner Fieldhouse,4325,Statesboro,GA,32.4278575,-81.7800371
Tarleton State University,Football,,Memorial Stadium,24000,Stephenville,TX,32.2150489,-98.2235463
Oklahoma State University,Football,,Boone Pickens Stadium,52314,Stillwater,OK,36.1256965,-97.0676137
Oklahoma State University,Basketball,,Gallagher-Iba Arena,13611,Stillwater,OK,36.1257346,-97.0651529
