index,school,name,team,citystate,type,subdivision,conference,profile_url,logo,football_stadium,baseball_stadium,basketball_stadium,softball_stadium,soccer_stadium,volleyball_stadium,ice_hockey_stadium,other_stadiums,color_hex
East Texas A&M University,East Texas A&M,Lions,Commerce,TX,Public,FCS,Southland Conference,https://en.wikipedia.org/wiki/East_Texas_A%26M_Lions,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Texas_A%26M%E2%80%93Commerce_Lions_logo.svg/250px-Texas_A%26M%E2%80%93Commerce_Lions_logo.svg.png,"Memorial Stadium
(Capacity: 11,582)",,"The Field House
(Capacity: 3,055)",John Cain Family Softball Field (Capacity: 800),Lion Soccer Field (Capacity: 500),,,,"['#EDAC09', '#0A2846']"
Elon University,Elon,Phoenix,Elon,NC,Private,FCS,Coastal Athletic Association[FB 6],https://en.wikipedia.org/wiki/Elon_Phoenix,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Elon_Phoenix_logo.svg/250px-Elon_Phoenix_logo.svg.png,Rhodes Stadium,Latham Park,Schar Center,,Rudd Field,,,,"['#B59A57', '#73000A']"
Fairfield University,Fairfield,Stags,Fairfield,CT,Private,Non-football,Metro Atlantic Athletic Conference,https://en.wikipedia.org/wiki/Fairfield_Stags,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Fairfield_Stags_logo.svg/250px-Fairfield_Stags_logo.svg.png,,Alumni Baseball Diamond,Leo D. Mahoney Arena,,Lessing Field,,,{'Lacrosse stadium': 'Rafferty Stadium'},['#E0143E']
Fairleigh Dickinson University,Fairleigh Dickinson,Knights,Hackensack,NJ,Private,Non-football,NEC,https://en.wikipedia.org/wiki/Fairleigh_Dickinson_Knights,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Fdu_knights_main_logo.png/250px-Fdu_knights_main_logo.png,,Naimoli Family Baseball Complex,Bogota Savings Bank Center,FDU Softball Field,,Bogota Savings Bank Center,,,"['#72293C', '#28334A']"
Florida Agricultural and Mechanical University,Florida A&M,Rattlers[s],Tallahassee,FL,Public,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Florida_A%26M_Rattlers_and_Lady_Rattlers,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Florida_A%26M_Rattlers_logo.svg/250px-Florida_A%26M_Rattlers_logo.svg.png,Bragg Memorial Stadium,Moore–Kittles Field,Al Lawson Center,Veronica Wiggins Field at University Softball Complex,,,,,"['#F4811F', '#008344']"
Florida Atlantic University,Florida Atlantic,Owls,Boca Raton,FL,Public,FBS,American Conference,https://en.wikipedia.org/wiki/Florida_Atlantic_Owls,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Florida_Atlantic_Owls_logo.svg/250px-Florida_Atlantic_Owls_logo.svg.png,Flagler Credit Union Stadium,FAU Baseball Stadium,Eleanor R. Baldwin Arena,FAU Softball Stadium,FAU Soccer Stadium,,,,"['#003366', '#CC0000']"
Florida Gulf Coast University,FGCU[N 4],Eagles,Fort Myers[L 4],FL,Public,Non-football,Atlantic Sun Conference,https://en.wikipedia.org/wiki/Florida_Gulf_Coast_Eagles,https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Florida_Gulf_Coast_Eagles_logo.svg/250px-Florida_Gulf_Coast_Eagles_logo.svg.png,,Swanson Stadium,Alico Arena,FGCU Softball Complex,FGCU Soccer Complex,,,,"['#004785', '#00794C']"
Florida International University,FIU,Panthers,Miami[L 5],FL,Public,FBS,Conference USA,https://en.wikipedia.org/wiki/FIU_Panthers,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/FIU_Panthers_logo.svg/250px-FIU_Panthers_logo.svg.png,Pitbull Stadium,FIU Baseball Stadium,Ocean Bank Convocation Center,Felsberg Field at FIU Softball Stadium,FIU Soccer Stadium,,,,"['#B6862C', '#081E3F']"
Florida State University,Florida State,Seminoles,Tallahassee,FL,Public,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/Florida_State_Seminoles,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Florida_State_Seminoles_logo.svg/250px-Florida_State_Seminoles_logo.svg.png,Bobby Bowden Field at Doak S. Campbell Stadium,Mike Martin Field at Dick Howser Stadium,Donald L. Tucker Center,Seminole Softball Complex,Seminole Soccer Complex,,,,"['#CEB888', '#782F40', '#FFFFFF']"
Fordham University,Fordham,Rams,Bronx,NY,Private,FCS,Atlantic 10 Conference[FB 8],https://en.wikipedia.org/wiki/Fordham_Rams,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Fordham_Rams_logo.svg/250px-Fordham_Rams_logo.svg.png,Jack Coffey Field,Houlihan Park,Rose Hill Gymnasium,Bahoshy Softball Complex/Murphy Field,Jack Coffey Field,,,,"['#72253D', '#FFFFFF']"
Furman University,Furman,Paladins[t],Greenville,SC,Private,FCS,Southern Conference,https://en.wikipedia.org/wiki/Furman_Paladins,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Furman_Paladins_logo.svg/250px-Furman_Paladins_logo.svg.png,Paladin Stadium,,Timmons Arena,Pepsi Stadium,Stone Stadium,Alley Gymnasium,,,"['#582C83', '#FFFFFF']"
Gardner–Webb University,Gardner–Webb,Runnin' Bulldogs,Boiling Springs,NC,Private,FCS,Big South Conference,https://en.wikipedia.org/wiki/Gardner%E2%80%93Webb_Runnin%27_Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Gardner%E2%80%93Webb_Runnin%27_Bulldogs_logo.svg/250px-Gardner%E2%80%93Webb_Runnin%27_Bulldogs_logo.svg.png,Ernest W. Spangler Stadium,John Henry Moss Stadium,Paul Porter Arena,Brinkley Softball Stadium,Greene–Harbison Stadium,Paul Porter Arena,,,"['#141414', '#BB0000']"
George Mason University,George Mason,Patriots,Fairfax[L 6],VA,Public,Non-football,Atlantic 10 Conference,https://en.wikipedia.org/wiki/George_Mason_Patriots,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Georgemason_athletics_logo.png/120px-Georgemason_athletics_logo.png,,Spuhler Field,EagleBank Arena,,George Mason Stadium,,,{'Lacrosse stadium': 'George Mason Stadium'},"['#215732', '#FFC72C']"
Georgetown University,Georgetown,Hoyas,Washington,DC,Private,FCS,Big East Conference[FB 4],https://en.wikipedia.org/wiki/Georgetown_Hoyas,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Georgetown_Hoyas_logo.svg/250px-Georgetown_Hoyas_logo.svg.png,Cooper Field,Capital One Park,"Capital One Arena (men's)
McDonough Gymnasium (women's)",Washington Nationals Youth Academy,Shaw Field,,,{'Lacrosse stadium': 'Cooper Field'},"['#041E42', '#AFA9A0']"
Georgia Institute of Technology,Georgia Tech,Yellow Jackets,Atlanta,GA,Public,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/Georgia_Tech_Yellow_Jackets,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Georgia_Tech_Yellow_Jackets_logo.svg/250px-Georgia_Tech_Yellow_Jackets_logo.svg.png,Bobby Dodd Stadium at Hyundai Field,Russ Chandler Stadium,McCamish Pavilion,,,,,,"['#B3A369', '#FFFFFF']"
Georgia Southern University,Georgia Southern,Eagles[u],Statesboro,GA,Public,FBS,Sun Belt Conference,https://en.wikipedia.org/wiki/Georgia_Southern_Eagles,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Georgia_Southern_Eagles_logo.svg/250px-Georgia_Southern_Eagles_logo.svg.png,Paulson Stadium,J. I. Clements Stadium,Hill Convocation Center,Eagle Field at GS Softball Complex,Eagle Field,Hanner Fieldhouse,,,"['#041E42', '#FFFFFF']"
Georgia State University,Georgia State,Panthers,Atlanta,GA,Public,FBS,Sun Belt Conference,https://en.wikipedia.org/wiki/Georgia_State_Panthers,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Georgia_State_Athletics_logo.svg/250px-Georgia_State_Athletics_logo.svg.png,Center Parc Credit Union Stadium,Georgia State Baseball Complex,Georgia State Convocation Center,Robert E. Heck Softball Complex,GSU Soccer Field,,,,"['#FFFFFF', '#0039A6']"
Gonzaga University,Gonzaga,Bulldogs[N 5],Spokane,WA,Private,Non-football,West Coast Conference[C 3],https://en.wikipedia.org/wiki/Gonzaga_Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Gonzaga_Bulldogs_logo.svg/250px-Gonzaga_Bulldogs_logo.svg.png,,Washington Trust Field and Patterson Baseball Complex,McCarthey Athletic Center,,,,,,"['#C8102E', '#041E42', '#FFFFFF']"
Grambling State University,Grambling State,Tigers[v],Grambling,LA,Public,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Grambling_State_Tigers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Grambling_State_Tigers_logo.svg/250px-Grambling_State_Tigers_logo.svg.png,Eddie G. Robinson Memorial Stadium,Wilbert Ellis Field at Ralph Waldo Emerson Jones Park,Fredrick C. Hobdy Assembly Center,GSU Softball Complex,GSU Soccer Complex,Memorial Gymnasium,,,"['#ECAA00', '#000000', '#DA291C']"
Grand Canyon University,Grand Canyon,Antelopes,Phoenix,AZ,Private,Non-football,Mountain West Conference,https://en.wikipedia.org/wiki/Grand_Canyon_Antelopes,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Grand_Canyon_University_2023_Logo_Update.svg/250px-Grand_Canyon_University_2023_Logo_Update.svg.png,,Brazell Field at GCU Ballpark,Global Credit Union Arena,GCU Softball Stadium,GCU Stadium,,,,"['#522398', '#000000', '#FFFFFF']"
Hampton University,Hampton,Pirates[q],Hampton,VA,Private,FCS,Coastal Athletic Association[FB 6],https://en.wikipedia.org/wiki/Hampton_Pirates_and_Lady_Pirates,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Hampton_pirates_athletics_logo.png/250px-Hampton_pirates_athletics_logo.png,Armstrong Stadium,,Convocation Center,Pirates Softball Stadium,,Holland Hall,,{'Lacrosse stadium': 'Armstrong Stadium'},"['#265198', '#FFFFFF']"
Harvard University,Harvard,Crimson,Cambridge[L 7],MA,Private,FCS,Ivy League,https://en.wikipedia.org/wiki/Harvard_Crimson,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Harvard_Crimson_logo_2020.svg/120px-Harvard_Crimson_logo_2020.svg.png,Harvard Stadium,Joseph J. O'Donnell Field[1],Lavietes Pavilion,Soldiers Field,"Jordan Field, Ohiri Field",Malkin Athletic Center,Bright-Landry Hockey Center,{'Lacrosse stadium': 'Harvard Stadium'},"['#2C2A29', '#A31F36', '#FFFFFF']"
High Point University,High Point,Panthers,High Point,NC,Private,Non-football,Big South Conference,https://en.wikipedia.org/wiki/High_Point_Panthers,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/High_Point_Panthers_logo.svg/250px-High_Point_Panthers_logo.svg.png,,George S. Erath Field at Coy O. Williard Baseball Stadium,Qubein Center,,,,,,"['#330072', '#FFFFFF']"
Hofstra University,Hofstra,Pride,Hempstead,NY,Private,Non-football,Coastal Athletic Association,https://en.wikipedia.org/wiki/Hofstra_Pride,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Hofstra_athletics_logo25.png/250px-Hofstra_athletics_logo25.png,,,,,,,,"{'Arena': 'Mack Sports Complex (4,223)', 'Lacrosse stadium': 'James M. Shuart Stadium (13,000)'}","['#FDC82F', '#FFFFFF', '#003591']"
Houston Christian University,Houston Christian,Huskies,Houston,TX,Private,FCS,Southland Conference,https://en.wikipedia.org/wiki/Houston_Christian_Huskies,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Houston_Baptist_Huskies_logo.svg/250px-Houston_Baptist_Huskies_logo.svg.png,Husky Stadium,Husky Baseball Field,Sharp Gymnasium,Husky Softball Field,Sorrels Field,,,,"['#FA4D09', '#062F87']"
Howard University,Howard,Bison[x],Washington,DC,Private,FCS,Mid-Eastern Athletic Conference,https://en.wikipedia.org/wiki/Howard_Bison,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Howard_Bison_logo.svg/250px-Howard_Bison_logo.svg.png,William H. Greene Stadium,,Burr Gymnasium,Washington Nationals Youth Academy,,,,,"['#003A63', '#FFFFFF']"
Idaho State University,Idaho State,Bengals,Pocatello,ID,Public,FCS,Big Sky Conference,https://en.wikipedia.org/wiki/Idaho_State_Bengals,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Idaho_State_Bengals_logo.png/250px-Idaho_State_Bengals_logo.png,ICCU Dome,,Reed Gym,Miller Ranch Stadium,Davis Field,,,,"['#000000', '#F47920']"
Illinois State University,Illinois State,Redbirds,Normal,IL,Public,FCS,Missouri Valley Conference[FB 9],https://en.wikipedia.org/wiki/Illinois_State_Redbirds,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Illinois_State_Athletics_logo.svg/250px-Illinois_State_Athletics_logo.svg.png,Hancock Stadium,Duffy Bass Field,CEFCU Arena,Marian Kneer Softball Stadium,,,,,"['#CE142B', '#FFFFFF']"
Indiana State University,Indiana State,Sycamores,Terre Haute,IN,Public,FCS,Missouri Valley Conference[FB 9],https://en.wikipedia.org/wiki/Indiana_State_Sycamores,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Indiana_State_Sycamores_logo.svg/250px-Indiana_State_Sycamores_logo.svg.png,"Memorial Stadium (football, soccer)",Bob Warn Field,Hulman Center,Price Field,,,,,"['#224E92', '#FFFFFF']"
Indiana University Bloomington,Indiana,Hoosiers,Bloomington,IN,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Indiana_Hoosiers,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Indiana_Hoosiers_logo.svg/120px-Indiana_Hoosiers_logo.svg.png,Memorial Stadium,Bart Kaufman Field,Simon Skjodt Assembly Hall,Andy Mohr Field,Bill Armstrong Stadium,,,,"['#990000', '#EDEBEB']"
Indiana University Indianapolis,IU Indy,Jaguars,Indianapolis,IN,Public,Non-football,Horizon League,https://en.wikipedia.org/wiki/IU_Indy_Jaguars,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/IU_indy_jaguars_logo.png/250px-IU_indy_jaguars_logo.png,,,The Jungle,,Michael A. Carroll Stadium,,,,"['#83786f', '#990000', '#edebeb']"
Iona University,Iona,Gaels,New Rochelle,NY,Private,Non-football,Metro Atlantic Athletic Conference,https://en.wikipedia.org/wiki/Iona_Gaels,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Iona_Gaels_logo.svg/250px-Iona_Gaels_logo.svg.png,,City Park,Hynes Center,,Mazzella Field,,,,"['#661E2B', '#EAAF0F']"
Iowa State University of Science and Technology[N 6],Iowa State,Cyclones,Ames,IA,Public,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/Iowa_State_Cyclones,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Iowa_State_Cyclones_logo.svg/250px-Iowa_State_Cyclones_logo.svg.png,Jack Trice Stadium,,Hilton Coliseum,,,,,,"['#C8102E', '#F1BE48']"
Jackson State University,Jackson State,Tigers[v],Jackson,MS,Public,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Jackson_State_Tigers_and_Lady_Tigers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Jackson_State_athletics_logo.svg/250px-Jackson_State_athletics_logo.svg.png,Mississippi Veterans Memorial Stadium,Braddy Field,Williams Assembly Center,,,,,,"['#002147', '#FFFFFF', '#008ED6']"
Jacksonville State University,Jax State,Gamecocks,Jacksonville,AL,Public,FBS,Conference USA,https://en.wikipedia.org/wiki/Jacksonville_State_Gamecocks,https://upload.wikimedia.org/wikipedia/en/thumb/2/20/Jacksonville_State_Gamecocks_logo.svg/250px-Jacksonville_State_Gamecocks_logo.svg.png,AmFirst Stadium,Rudy Abbott Field,Pete Mathews Coliseum,,,,,,"['#CA2026', '#FFFFFF']"
Jacksonville University,Jacksonville,Dolphins,Jacksonville,FL,Private,Non-football,Atlantic Sun Conference,https://en.wikipedia.org/wiki/Jacksonville_Dolphins,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Jacksonville_Dolphins_logo_2018.svg/250px-Jacksonville_Dolphins_logo_2018.svg.png,,John Sessions Stadium,Swisher Gymnasium[1],Debbie and Fred Pruitt Softball Complex,Southern Oak Stadium,,,,"['#FFFFFF', '#004E42']"
James Madison University,James Madison,Dukes,Harrisonburg,VA,Public,FBS,Sun Belt Conference,https://en.wikipedia.org/wiki/James_Madison_Dukes,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/James_Madison_University_Athletics_logo.svg/250px-James_Madison_University_Athletics_logo.svg.png,Bridgeforth Stadium,Eagle Field at Veterans Memorial Park,Atlantic Union Bank Center,,Sentara Park,,,,"['#450084', '#B3A369']"
Kansas State University,Kansas State,Wildcats,Manhattan,KS,Public,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/Kansas_State_Wildcats,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Kansas_State_Wildcats_logo.svg/250px-Kansas_State_Wildcats_logo.svg.png,Bill Snyder Family Stadium,Tointon Family Stadium,Bramlage Coliseum,,Buser Family Park,,,,"['#FFFFFF', '#330A57']"
Kennesaw State University,Kennesaw State,Owls,Kennesaw[L 8],GA,Public,FBS,Conference USA,https://en.wikipedia.org/wiki/Kennesaw_State_Owls,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Kennesaw_State_Owls_logo.svg/250px-Kennesaw_State_Owls_logo.svg.png,Fifth Third Bank Stadium,Stillwell Baseball Stadium,KSU Convocation Center,Bailey Park,Fifth Third Bank Stadium,,,{'Lacrosse stadium': 'Fifth Third Bank Stadium'},"['#0B1315', '#FDBB30', '#FFFFFF']"
Kent State University,Kent State,Golden Flashes,Kent,OH,Public,FBS,Mid-American Conference,https://en.wikipedia.org/wiki/Kent_State_Golden_Flashes,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Kent_State_athletic_logo.svg/250px-Kent_State_athletic_logo.svg.png,Dix Stadium,Schoonover Stadium,Memorial Athletic and Convocation Center,Devine Diamond,Zoeller Field at Dix Stadium,,,{'Lacrosse stadium': 'Dix Stadium'},"['#002664', '#EFAB00']"
Lafayette College,Lafayette,Leopards,Easton,PA,Private,FCS,Patriot League,https://en.wikipedia.org/wiki/Lafayette_Leopards,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Lafayette_Leopards_logo.svg/250px-Lafayette_Leopards_logo.svg.png,Fisher Stadium,Kamine Stadium,Kirby Sports Center,Lafayette Softball Field,Mike Bourger '44 Field at Oaks Stadium,Kirby Sports Center,,{'Lacrosse stadium': 'Fisher Stadium'},"['#FFFFFF', '#910029']"
Lamar University,Lamar,Cardinals[ab],Beaumont,TX,Public,FCS,Southland Conference,https://en.wikipedia.org/wiki/Lamar_Cardinals_and_Lady_Cardinals,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Lamar_Cardinals_logo.svg/250px-Lamar_Cardinals_logo.svg.png,Provost Umphrey Stadium,Vincent-Beck Stadium,Montagne Center,Lamar Softball Complex,Lamar Soccer Complex[1],,,,"['#E31937', '#FFFFFF']"
La Salle University,La Salle,Explorers,Philadelphia,PA,Private,Non-football,Atlantic 10 Conference,https://en.wikipedia.org/wiki/La_Salle_Explorers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/La_Salle_Explorers_primary_logo.svg/250px-La_Salle_Explorers_primary_logo.svg.png,,Hank DeVincent Field,John Glaser Arena,,McCarthy Stadium,,,,"['#003057', '#F1C400']"
Lehigh University,Lehigh,Mountain Hawks,Bethlehem,PA,Private,FCS,Patriot League,https://en.wikipedia.org/wiki/Lehigh_Mountain_Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/LehighMountainHawks.svg/250px-LehighMountainHawks.svg.png,Goodman Stadium,J. David Walker Field at Legacy Park,Stabler Arena,Leadership Park,Ulrich Sports Complex,Leeman-Turner Arena At Grace Hall,,,"['#653819', '#FFFFFF']"
Leland Stanford Junior University,Stanford,Cardinal,Stanford,CA,Private,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/Stanford_Cardinal,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/120px-Stanford_Cardinal_logo.svg.png,Stanford Stadium,Klein Field at Sunken Diamond,Maples Pavilion,Boyd & Jill Smith Family Stadium,Maloney Field at Laird Q. Cagan Stadium,,,,"['#8C1515', '#FFFFFF']"
Le Moyne College,Le Moyne,Dolphins,DeWitt,NY,Private,Non-football,Northeast Conference,https://en.wikipedia.org/wiki/Le_Moyne_Dolphins,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Le_Moyne_Dolphins_logo.svg/250px-Le_Moyne_Dolphins_logo.svg.png,,Dick Rockwell Field,Ted Grant Court in the Le Moyne Events Center,Softball Complex,Ted Grant Field,,,{'Lacrosse stadium': 'Ted Grant Field'},"['#FFF30D', '#00452A']"
Liberty University,Liberty,Flames[ac],Lynchburg,VA,Private,FBS,Conference USA,https://en.wikipedia.org/wiki/Liberty_Flames_and_Lady_Flames,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Liberty_Flames_logo.svg/250px-Liberty_Flames_logo.svg.png,Williams Stadium,Liberty Baseball Stadium,Liberty Arena,Kamphuis Field at Liberty Softball Stadium,Osborne Stadium,,LaHaye Ice Center,,"['#0A254E', '#9FCBED', '#FFFFFF', '#B72025']"
Lindenwood University,Lindenwood,Lions and Lady Lions,Saint Charles,MO,Private,FCS,Ohio Valley Conference,https://en.wikipedia.org/wiki/Lindenwood_Lions,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Lindenwood_Lions_logo.svg/250px-Lindenwood_Lions_logo.svg.png,Hunter Stadium,Lou Brock Sports Complex,Hyland Arena,,Hunter Stadium,,Centene Community Center,{'Lacrosse stadium': 'Hunter Stadium'},"['#000000', '#B5A36A']"
Lipscomb University,Lipscomb,Bisons[ad],Nashville,TN,Private,Non-football,Atlantic Sun Conference,https://en.wikipedia.org/wiki/Lipscomb_Bisons,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/Lipscomb_Athletics_primary.svg/120px-Lipscomb_Athletics_primary.svg.png,,Dugan Field,Allen Arena,Draper Diamond,Lipscomb Soccer Complex,,,,"['#F4AA00', '#331E54']"
Long Island University,LIU,Sharks,Brooklyn & Brookville[L 9],NY,Private,FCS,NEC,https://en.wikipedia.org/wiki/LIU_Sharks,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/LIU_Sharks_logo.svg/250px-LIU_Sharks_logo.svg.png,Bethpage Federal Credit Union Stadium,LIU Baseball Stadium,Steinberg Wellness Center and Barclays Center,LIU Softball Complex,LIU Soccer Park,,Northwell Health Ice Center,,"['#69B3E7', '#FFC72C']"
Longwood University,Longwood,Lancers,Farmville,VA,Public,Non-football,Big South Conference,https://en.wikipedia.org/wiki/Longwood_Lancers,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Longwood_Lancers_logo.svg/250px-Longwood_Lancers_logo.svg.png,,Charles Buddy Bolding Stadium,Joan Perry Brock Center,Lancer Field,Longwood University Athletics Complex,,,,"['#002147', '#FFFFFF']"
Louisiana State University and Agricultural and Mechanical College,LSU,Tigers[v],Baton Rouge,LA,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/LSU_Tigers_and_Lady_Tigers,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/250px-LSU_Athletics_logo.svg.png,Tiger Stadium,"Alex Box Stadium, Skip Bertman Field",Pete Maravich Assembly Center,Tiger Park,LSU Soccer Stadium,Pete Maravich Assembly Center,,,"['#FDD023', '#461D7C', '#FFFFFF']"
Louisiana Tech University,Louisiana Tech,Bulldogs[ae],Ruston,LA,Public,FBS,Conference USA[C 6],https://en.wikipedia.org/wiki/Louisiana_Tech_Bulldogs_and_Lady_Techsters,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Louisiana_Tech_Athletics_logo.svg/250px-Louisiana_Tech_Athletics_logo.svg.png,Joe Aillet Stadium,J. C. Love Field at Pat Patterson Park,Thomas Assembly Center,Dr. Billy Bundrick Field,Robert Mack Caruthers Field,,,,"['#003087', '#CB333B']"
Loyola Marymount University,Loyola Marymount,Lions,Los Angeles,CA,Private,Non-football,West Coast Conference,https://en.wikipedia.org/wiki/Loyola_Marymount_Lions,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/LMU_Lions_logo.svg/250px-LMU_Lions_logo.svg.png,,George C. Page Stadium,Gersten Pavilion,Smith Field,Sullivan Field,Gersten Pavilion,,,"['#AB0C2F', '#0076A5']"
Loyola University Chicago,Loyola Chicago,Ramblers,Chicago,IL,Private,Non-football,Atlantic 10 Conference,https://en.wikipedia.org/wiki/Loyola_Ramblers,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Loyola_Ramblers_logo.svg/250px-Loyola_Ramblers_logo.svg.png,,,Joseph J. Gentile Arena,,Loyola Soccer Park,,,,"['#FDB913', '#582931']"
Loyola University Maryland,Loyola,Greyhounds,Baltimore,MD,Private,Non-football,Patriot League,https://en.wikipedia.org/wiki/Loyola_Greyhounds,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Loyola_Greyhounds_logo.svg/250px-Loyola_Greyhounds_logo.svg.png,,,Reitz Arena,,Ridley Athletic Complex,Reitz Arena,,,"['#005A3C', '#D2D2D2']"
Manhattan University,Manhattan,Jaspers[af],Riverdale,NY,Private,Non-football,Metro Atlantic Athletic Conference,https://en.wikipedia.org/wiki/Manhattan_Jaspers,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Manhattan_Jaspers_logo.svg/250px-Manhattan_Jaspers_logo.svg.png,,Clover Stadium[1],Draddy Gymnasium,,,,,,"['#00703C', '#FFFFFF']"
Marist University,Marist,Red Foxes,Poughkeepsie,NY,Private,FCS,Metro Atlantic Athletic Conference[FB 10],https://en.wikipedia.org/wiki/Marist_Red_Foxes,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Marist_Red_Foxes_logo.svg/250px-Marist_Red_Foxes_logo.svg.png,Tenney Stadium,James J. McCann Baseball Field,McCann Arena,,,,,,"['#C8102E', '#FFFFFF']"
Marquette University,Marquette,Golden Eagles,Milwaukee,WI,Private,Non-football,Big East Conference,https://en.wikipedia.org/wiki/Marquette_Golden_Eagles,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Marquette_Golden_Eagles_logo.svg/250px-Marquette_Golden_Eagles_logo.svg.png,,,"Fiserv Forum (men)
Al McGuire Center (women)",,Valley Fields,,,,"['#003366', '#FFCC00']"
Marshall University,Marshall,Thundering Herd,Huntington,WV,Public,FBS,Sun Belt Conference,https://en.wikipedia.org/wiki/Marshall_Thundering_Herd,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Marshall_Thundering_Herd_logo.svg/250px-Marshall_Thundering_Herd_logo.svg.png,Joan C. Edwards Stadium,Jack Cook Field[2],Cam Henderson Center,Dot Hicks Field,Veterans Memorial Soccer Complex,,,,"['#FFFFFF', '#00B140', '#27251F']"
McNeese State University,McNeese,Cowboys[ah],Lake Charles,LA,Public,FCS,Southland Conference,https://en.wikipedia.org/wiki/McNeese_Cowboys_and_Cowgirls,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/McNeese_State_Athletics_logo.svg/250px-McNeese_State_Athletics_logo.svg.png,Navarre Stadium,Joe Miller Ballpark,Townsley Law Arena,Joe Miller Field at Cowgirl Diamond,Cowgirl Field,,,,"['#FFD204', '#00529B']"
