col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,photo_url,jersey_number,hometown,nationality,nba_status
Isaiah Brickner,G,6-4,190,Idaho,Sr,-,San Diego (CA),St. Augustine High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brickner_Isaiah_mar22.jpg,5.0,"San Diego, California",United States,Draft Eligible in 2026
Carlin Briggs,G,6-7,190,Portland,Fr,"Mar 16, 2005",Melbourne (VIC),Australian Centre of Excellence,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Briggs_Carlin_por24.jpg,9.0,"Melbourne, Australia",Australia,Draft Eligible in 2029
Kheni Briggs,G,6-3,200,New Haven,Jr,-,Kannapolis (NC),The Burlington School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Briggs_Kheni_chso23.jpg,3.0,"Kannapolis, North Carolina",United States,Draft Eligible in 2027
Jacari Brim,G,6-2,190,Appalachian State,Fr,-,Clemmons (NC),West Forsyth High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brim_Jacari_app25.jpg,6.0,"Clemmons, North Carolina",United States,Draft Eligible in 2029
Jordan Brinson,G,6-2,170,Cal State Northridge,Sr,"Dec 31, 1999",Los Angeles (CA),Westchester High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brinson_Jordan_uab19.jpg,23.0,"Los Angeles, California",United States,Draft Eligible in 2026
Rich Brisco,F,6-8,230,Akron,Fr,-,Brooklyn (NY),Roselle Catholic High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brisco_Richard_akr24.jpg,2.0,"Brooklyn, New York",United States,Draft Eligible in 2029
Dezmon Briscoe,FC,6-8,220,Kent State,Fr,-,Indianapolis (IN),Crispus Attucks High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Briscoe_Dezmon_kent25.jpg,11.0,"Indianapolis, Indiana",United States,Draft Eligible in 2029
Hayden Brister,G,6-0,180,Northwestern State,Fr,-,Rosepine (LA),Rosepine High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/player_photo.jpg,2.0,"Rosepine, Louisiana",United States,Draft Eligible in 2029
Keitenn Bristow,F,6-10,190,Alabama,So,-,Holliday (TX),Holliday High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bristow_Keitenn_tar24.jpg,10.0,"Holliday, Texas",United States,Draft Eligible in 2028
Angelo Brizzi,G,6-3,193,Buffalo,Jr,"Nov 5, 2001",Warrenton (VA),Highland School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brizzi_Angelo_vil21.jpg,14.0,"Warrenton, Virginia",United States,Draft Eligible in 2027
Trae Broadnax,PG,6-4,200,Rice,Sr,-,Montverde (FL),Montverde Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Broadnax_Trae_navy20.jpg,12.0,"Montverde, Florida",United States,Draft Eligible in 2026
Kilian Brockhoff,PF,6-9,230,William & Mary,Jr,"May 17, 2004",Vechta,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brockhoff_Kilian_ucsb23.jpg,22.0,"Vechta, Germany",Germany,Draft Eligible in 2027
Lavell Brodnex,G,6-5,190,Louisiana-Monroe,Sr,-,Saginaw (MI),Saginaw High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brodnex_Lavell_wag23.jpg,4.0,"Saginaw, Michigan",United States,Draft Eligible in 2026
Todd Brogna,F,6-7,220,Merrimack College,Jr,-,Southborough (MA),Worcester Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brogna_Todd_sto23.jpg,20.0,"Southborough, Massachusetts",United States,Draft Eligible in 2027
Eddrin Bronson,G,6-4,184,Furman,So,-,Tampa (FL),Tampa Catholic High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bronson_Eddrein_fur23.jpg,2.0,"Tampa, Florida",United States,Draft Eligible in 2028
Isaiah Bronson,PG,6-2,180,Sacramento State,Fr,-,Gilbert (AZ),Bella Vista College Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bronson_Isaiah_sac25.jpg,13.0,"Gilbert, Arizona",United States,Draft Eligible in 2029
"Obie Bronston, Jr.",GF,6-6,205,South Carolina State,Jr,-,Springfield (OH),Fairfield High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bronston_Owen_scsu25.jpg,5.0,"Springfield, Ohio",United States,Draft Eligible in 2027
Cassius Brooks,G,6-0,185,UTEP,Sr,-,Chicago (IL),Curie Metropolitan High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brooks_Cassius_utep25.jpg,23.0,"Chicago, Illinois",United States,Draft Eligible in 2026
Elijah Brooks,GF,6-3,195,Houston Christian,Sr,-,Topeka (KS),Topeka West High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brooks_Elijah_nd23.jpg,4.0,"Topeka, Kansas",United States,Draft Eligible in 2026
J.C. Brooks,FC,6-10,215,Tennessee State,So,-,Calgary,Orangeville Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brooks_JC_tenst24.jpg,4.0,"Calgary, Canada",Canada,Draft Eligible in 2028
Jasen Brooks,G,6-0,195,UC San Diego,Jr,-,Cleveland (TN),Cleveland High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brooks_Jasen_ucsd23.jpg,11.0,"Cleveland, Tennessee",United States,Draft Eligible in 2027
Jorden Brooks,G,6-1,185,Central Michigan,Jr,-,Grand Rapids (MI),Catholic Central High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brooks_Jorden_cmu25.jpg,23.0,"Grand Rapids, Michigan",United States,Draft Eligible in 2027
Phat Phat Brooks,PG,6-2,195,Central Michigan,So,-,Grand Rapids (MI),Catholic Central High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brooks_Phatphat_mich24.jpg,10.0,"Grand Rapids, Michigan",United States,Draft Eligible in 2028
Tyrique Brooks,G,6-4,180,Missouri State,So,-,Springfield (MO),Central High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brooks_Tyrique_most25.jpg,2.0,"Springfield, Missouri",United States,Draft Eligible in 2028
Anton Brookshire,PG,6-2,174,Austin Peay,Sr,-,Springfield (MO),Kickapoo High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brookshire_Anton_mo21.jpg,12.0,"Springfield, Missouri",United States,Draft Eligible in 2026
John Broom,F,6-5,190,South Alabama,So,-,Jacksonville (AL),Jacksonville High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Broom_John_soal23.jpg,14.0,"Jacksonville, Alabama",United States,Draft Eligible in 2028
DeWayne Brown II,C,6-9,255,Tennessee,Fr,-,Hoover (AL),Hoover High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Dewayne_ten25.jpg,6.0,"Hoover, Alabama",United States,Draft Eligible in 2029
Rob Brown III,G,6-4,195,Stony Brook,Sr,-,Albany (NY),Kimball Union Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Rob_niagara21.jpg,2.0,"Albany, New York",United States,Draft Eligible in 2026
Mikel Brown Jr.,G,6-5,180,Louisville,Fr,"Apr 3, 2006",Orlando (FL),DME Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Mikel_lou25.jpg,0.0,"Orlando, Florida",United States,Draft Eligible in 2029
A.J. Brown,GF,6-4,195,Florida,Jr,-,Orlando (FL),Orlando Christian Prep High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_AJ_ohio22.jpg,23.0,"Orlando, Florida",United States,Draft Eligible in 2027
Amaree Brown,GF,6-5,210,Southern Indiana,Jr,-,Chicago (IL),Wells Community Academy High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Amaree_usi25.jpg,15.0,"Chicago, Illinois",United States,Draft Eligible in 2027
Amere Brown,G,5-10,160,Arkansas,Fr,-,Pittsburgh (PA),Woodland Hills High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Amere_ark25.jpg,2.0,"Pittsburgh, Pennsylvania",United States,Draft Eligible in 2029
Anakin Brown,G,6-3,170,Jacksonville,So,-,Jacksonville (FL),The Bolles School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Anakin_ju24.jpg,4.0,"Jacksonville, Florida",United States,Draft Eligible in 2028
Avery Brown,G,6-4,190,Columbia,Sr,"Dec 10, 2002",Fairfield (CT),Northfield Mount Hermon School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Avery_col23.jpg,1.0,"Fairfield, Connecticut",United States,Draft Eligible in 2026
Ben Brown,G,6-2,198,Dartmouth,Jr,"Sep 10, 2004",Manchester,Manchester Grammar School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Ben_dart24.jpg,0.0,"Manchester, England",England,Draft Eligible in 2027
C.J. Brown,G,6-2,175,South Florida,So,-,Marietta (GA),Kell High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_CJ_usf24.jpg,11.0,"Marietta, Georgia",United States,Draft Eligible in 2028
Christian Brown,F,6-8,220,James Madison,Fr,-,Franklin (TN),Franklin High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Christian_jmu25.jpg,0.0,"Franklin, Tennessee",United States,Draft Eligible in 2029
Corey Brown,G,6-4,175,Samford,So,-,Fairburn (GA),Landmark Christian High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Corey_sam24.jpg,21.0,"Fairburn, Georgia",United States,Draft Eligible in 2028
Davian Brown,G,6-3,165,Montana State,Sr,-,Pasadena (CA),Pasadena High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Davian_msu25.jpg,0.0,"Pasadena, California",United States,Draft Eligible in 2026
Devin Brown,F,6-7,205,Coastal Carolina,Fr,-,Milwaukee (WI),Milwaukee Academy of Science,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Devin_ccu25.jpg,12.0,"Milwaukee, Wisconsin",United States,Draft Eligible in 2029
Devin Brown,F,6-6,200,Davidson,Fr,-,Lewis Center (OH),Olentangy High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Devin_dav25.jpg,6.0,"Lewis Center, Ohio",United States,Draft Eligible in 2029
Dion Brown,G,6-3,185,Saint Louis,Sr,"May 26, 2003",Great Barrington (MA),Vermont Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Dion_umbc23.jpg,13.0,"Great Barrington, Massachusetts",United States,Draft Eligible in 2026
Donovan Brown,F,6-2,185,Massachusetts,Sr,-,Bolingbrook (IL),Plainfield High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Donovan_umass25.jpg,10.0,"Bolingbrook, Illinois",United States,Draft Eligible in 2026
Elijah Brown,GF,6-4,200,Wagner,Fr,-,Atlantic City (NJ),Hillcrest Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Elijah_wag25.jpg,3.0,"Atlantic City, New Jersey",United States,Draft Eligible in 2029
Eric Brown,F,6-8,225,Cal Poly,Jr,-,San Jose (CA),Archbishop Mitty High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Eric_calpoly24.jpg,22.0,"San Jose, California",United States,Draft Eligible in 2027
Ethan Brown,C,6-10,215,Colgate,So,-,Peterborough (ON),Orangeville Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Ethan_col25.jpg,0.0,"Peterborough, Canada",Canada,Draft Eligible in 2028
Fischer Brown,F,6-4,180,Western Carolina,So,-,Lewiston (MT),Wasatch Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Fischer_wcu24.jpg,20.0,"Lewiston, Montana",United States,Draft Eligible in 2028
Isaiah Brown,G,6-4,195,Florida,So,"Jan 17, 2006",Orlando (FL),Orlando Christian Prep High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Isaiah_fl24.jpg,20.0,"Orlando, Florida",United States / Puerto Rico,Draft Eligible in 2028
Isaiah Brown,G,6-1,170,Howard,So,-,New Milford (NJ),Don Bosco Preparatory High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Isaiah_hu25.jpg,0.0,"New Milford, New Jersey",United States,Draft Eligible in 2028
Jaedyn Brown,GF,6-4,185,Idaho State,So,-,Pullman (WA),Pullman High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Jaedyn_isu23.jpg,4.0,"Pullman, Washington",United States,Draft Eligible in 2028
Jamar Brown,F,6-5,200,UCLA,Sr,"Aug 18, 2001",Chandler (AZ),Hamilton High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Jamar_umkc23.jpg,4.0,"Chandler, Arizona",United States,Draft Eligible in 2026
Jameel Brown,G,6-4,200,Delaware,Sr,-,Philadelphia (PA),Westtown School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Jameel_psu22.jpg,55.0,"Philadelphia, Pennsylvania",United States,Draft Eligible in 2026
James Brown,F,6-10,240,North Carolina,So,"Nov 16, 2005",Aurora (IL),Link Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_James_unc24.jpg,2.0,"Aurora, Illinois",United States,Draft Eligible in 2028
Jayden Brown,G,5-11,160,Bryant,So,-,Teaneck (NJ),Immaculate Conception High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Jayden_bry25.jpg,15.0,"Teaneck, New Jersey",United States,Draft Eligible in 2028
Jordan Brown,G,6-1,200,UNC Greensboro,Jr,-,Alpharetta (GA),Pebblebrook High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Jordan_uncg25.jpg,3.0,"Alpharetta, Georgia",United States,Draft Eligible in 2027
Josiah Brown,F,6-5,200,Coppin State,So,-,Baltimore (MD),Edmondson-Westside High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Josiah_csu25.jpg,3.0,"Baltimore, Maryland",United States,Draft Eligible in 2028
"Mark Brown, Jr.",G,5-11,N/A,Valparaiso,Jr,-,Phoenix (AZ),Mountain Pointe High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Mark_valpo25.jpg,10.0,"Phoenix, Arizona",United States,Draft Eligible in 2027
"Rodney Brown, Jr.",F,6-6,185,Loyola Marymount,Jr,-,Temecula (CA),Rancho Christian School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Rodney_cal23.jpg,2.0,"Temecula, California",United States,Draft Eligible in 2027
Kaden Brown,G,6-1,175,Southern Indiana,Jr,-,Grand Rapids (MI),Catholic Central High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Kaden_wsu23.jpg,0.0,"Grand Rapids, Michigan",United States,Draft Eligible in 2027
Kaleb Brown,PG,6-7,245,Robert Morris,Sr,-,Huntsville (AL),Lee High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Kaleb_mo21.jpg,4.0,"Huntsville, Alabama",United States,Draft Eligible in 2026
Kennedy Brown,F,6-8,225,Florida International,Sr,-,Chicago (IL),Bogan High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Kennedy_om23.jpg,25.0,"Chicago, Illinois",United States,Draft Eligible in 2026
Kyle Brown,F,6-9,245,Arkansas-Pine Bluff,Sr,-,Plantation (FL),Dillard High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Kyle_apb24.jpg,24.0,"Plantation, Florida",United States,Draft Eligible in 2026
L.J. Brown,G,6-2,185,Texas-San Antonio,Sr,-,Plano (TX),Plano Senior High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_LJ_utsa24.jpg,8.0,"Plano, Texas",United States,Draft Eligible in 2026
Luke Brown,F,6-9,200,American University,Fr,-,Greenville (DE),Vermont Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Luke_au25.jpg,16.0,"Greenville, Delaware",United States,Draft Eligible in 2029
Malachi Brown,G,6-1,175,Georgia State,Jr,-,Buford (GA),Legacy Early College,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Malachi_shu23.jpg,22.0,"Buford, Georgia",United States,Draft Eligible in 2027
Maliq Brown,PF,6-9,225,Duke,Sr,"Nov 16, 2003",Culpeper (VA),Blue Ridge School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Maliq_syr22.jpg,6.0,"Culpeper, Virginia",United States,Draft Eligible in 2026
Sam Brown,G,6-3,185,Davidson,Jr,-,Merion Station (PA),Lower Merion High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Sam_penn23.jpg,11.0,"Merion Station, Pennsylvania",United States,Draft Eligible in 2027
T'Johnn Brown,G,5-11,164,McNeese State,Jr,-,Lewisville (TX),Justin F. Kimball High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_TJohnn_mc23.jpg,0.0,"Lewisville, Texas",United States,Draft Eligible in 2027
Terrence Brown,G,6-3,166,Utah,Jr,-,Minneapolis (MN),Golden State Preparatory School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Terrence_fdu23.jpg,2.0,"Minneapolis, Minnesota",United States,Draft Eligible in 2027
Trey Brown,F,6-7,190,Maryland-Eastern Shore,Jr,-,Phoenix (AZ),Hillcrest Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Trey_umes25.jpg,3.0,"Phoenix, Arizona",United States,Draft Eligible in 2027
Tyson Brown,C,6-9,225,Radford,Sr,"Oct 25, 2000",Virginia Beach (VA),Proctor Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Tyson_rmu20.jpg,21.0,"Virginia Beach, Virginia",United States,Draft Eligible in 2026
Walter Brown,F,6-5,210,UNLV,Sr,"May 23, 2003",Leithfield,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Walter_unlv25.jpg,7.0,"Leithfield, New Zealand",New Zealand,Unrestricted Free Agent
Xavier Brown,G,6-2,183,South Florida,Sr,-,Williamsburg (VA),Jamestown High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Xavier_jmu22.jpg,0.0,"Williamsburg, Virginia",United States,Draft Eligible in 2026
Xzayvier Brown,G,6-2,182,Oklahoma,Jr,"Dec 3, 2004",Philadelphia (PA),Roman Catholic High School for Boys,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brown_Xzayvier_sju23.jpg,1.0,"Philadelphia, Pennsylvania",United States,Draft Eligible in 2027
Jaden Brownell,F,6-10,235,USC,Sr,-,Sandy (UT),Alta High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brownell_Jaden_uic21.jpg,33.0,"Sandy, Utah",United States,Draft Eligible in 2026
Rowan Brumbaugh,G,6-4,190,Tulane,Jr,"Mar 7, 2004",Washington (DC),Northfield Mount Hermon School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brumbaugh_Rowan_ut22.jpg,7.0,"Washington, District of Columbia",United States,Draft Eligible in 2027
Dylan Brumfield,F,6-5,189,Southern Mississippi,Sr,-,Hattiesburg (MS),Oak Grove High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brumfield_Dylan_somiss25.jpg,13.0,"Hattiesburg, Mississippi",United States,Draft Eligible in 2026
Xavier Brumfield,G,6-1,180,UNLV,Fr,-,New Orleans (LA),Southern California Academy of Sciences,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brumfield_Xavier_unlv25.jpg,,"New Orleans, Louisiana",United States,Draft Eligible in 2029
Isaac Bruns,F,6-5,N/A,South Dakota,Jr,-,North Sioux City (SD),Dakota Valley High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bruns_Isaac_usd23.jpg,12.0,"North Sioux City, South Dakota",United States,Draft Eligible in 2027
Luke Bruns,G,6-2,N/A,South Dakota,Fr,-,North Sioux City (SD),Dakota Valley High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bruns_Luke_sd25.jpg,5.0,"North Sioux City, South Dakota",United States,Draft Eligible in 2029
Chip Brunt,SG,6-5,165,Northwestern State,Jr,-,Memphis (TN),Whitehaven High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Brunt_Chip_ucr23.jpg,1.0,"Memphis, Tennessee",United States,Draft Eligible in 2027
Alex Bruskotter,F,6-8,205,Wright State,Fr,-,Shelby (OH),Shelby High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bruskotter_Alex_ws24.jpg,5.0,"Shelby, Ohio",United States,Draft Eligible in 2029
Tyeree Bryan,SG,6-5,215,Texas Tech,Sr,-,Orlando (FL),Olympia High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bryan_Tyeree_csu23.jpg,1.0,"Orlando, Florida",United States,Draft Eligible in 2026
A.C. Bryant,F,6-3,185,Jacksonville State,Sr,-,Shreveport (LA),Captain Shreve High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bryant_Anthony_alam23.jpg,0.0,"Shreveport, Louisiana",United States,Draft Eligible in 2026
Ayuba Bryant,C,6-9,200,Temple,Fr,"Feb 2, 2005",Antwerp,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bryant_Ayuba_tem25.jpg,2.0,"Antwerp, Belgium",Belgium,Draft Eligible in 2029
Marcel Bryant,F,6-7,235,Prairie View A&M,Jr,-,Round Rock (TX),Cedar Ridge High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bryant_Marcel_om23.jpg,24.0,"Round Rock, Texas",United States,Draft Eligible in 2027
Taj Bryant,G,6-2,178,Sacred Heart,So,-,Queens (NY),The Patrick School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bryant_Taj_sh24.jpg,10.0,"Queens, New York",United States,Draft Eligible in 2028
Travelle Bryson,SG,6-5,185,Howard,So,-,Mooresville (NC),Legacy Early College,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bryson_Travelle_hu25.jpg,32.0,"Mooresville, North Carolina",United States,Draft Eligible in 2028
Dorin Buca,C,7-2,254,Kansas State,Jr,"Aug 23, 2002",Perugia,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buca_Dorin_kst25.jpg,22.0,"Perugia, Italy",Italy,Draft Eligible in 2027
Blake Buchanan,C,6-10,225,Iowa State,Jr,"Jan 20, 2004",Hayden (ID),Lake City High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buchanan_Blake_uva23.jpg,23.0,"Hayden, Idaho",United States,Draft Eligible in 2027
Javan Buchanan,F,6-7,230,Boise State,Sr,-,Lafayette (IN),Jefferson High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buchanan_Javan_bsu24.jpg,22.0,"Lafayette, Indiana",United States,Draft Eligible in 2026
"Darren Buchanan, Jr.",G,6-7,235,Rutgers,Jr,-,Washington (DC),Jackson-Reed High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buchanan_Darren_vatech22.jpg,5.0,"Washington, District of Columbia",United States,Draft Eligible in 2027
Trey Buchanan,G,6-0,175,South Dakota State,Fr,"Jul 13, 2005",Westfield (IN),Westfield High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buchanan_Trey_iowa24.jpg,0.0,"Westfield, Indiana",United States,Draft Eligible in 2029
Bryson Buckingham,G,6-2,180,Cincinnati,Fr,-,Edmond (OK),Link Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buckingham_Bryson_cin25.jpg,0.0,"Edmond, Oklahoma",United States,Draft Eligible in 2029
Jakevion Buckley,G,6-2,173,New Orleans,Sr,-,Shelbyville (TX),Shelbyville High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buckley_Jakevion_lam23.jpg,5.0,"Shelbyville, Texas",United States,Draft Eligible in 2026
Ace Buckner,G,6-3,170,Clemson,Fr,-,Independence (OH),La Lumiere School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buckner_Ace_clem24.jpg,21.0,"Independence, Ohio",United States,Draft Eligible in 2029
Noah Budu,G,6-1,209,Pacific,So,-,American Canyon (CA),American Canyon High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Badu_Noah_pac24.jpg,12.0,"American Canyon, California",United States,Draft Eligible in 2028
Heri Bukinga,FC,6-11,235,Drake,Fr,"Jan 21, 2007",Goma Tsetse,DME Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bukinga_Heri_drake25.jpg,32.0,"Goma Tsetse, Democratic Republic of the Congo",Democratic Republic of the Congo,Draft Eligible in 2029
Andrija Bukumirovic,F,6-7,200,Tennessee-Martin,Jr,-,Sjenica,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bukumirovic_Andrija_utm24.jpg,0.0,"Sjenica, Serbia",Serbia,Draft Eligible in 2027
Janko Bulajic,C,6-10,233,Lamar,Sr,"Nov 24, 2002",Niksic,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bulajic_Janko_lam23.jpg,32.0,"Niksic, Montenegro",Montenegro,Draft Eligible in 2026
Tomislav Buljan,F,6-9,N/A,New Mexico,Fr,"Nov 3, 2002",Split,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buljan_Tomislav_22.jpg,10.0,"Split, Croatia",Croatia,Draft Eligible in 2029
Danzelle Bullock Coles,SG,6-5,N/A,Queens University,Fr,-,Charlottesville (VA),St. Anne's-Belfield School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bullock_Danzelle_que25.jpg,2.0,"Charlottesville, Virginia",United States,Draft Eligible in 2029
Dre Bullock,GF,6-6,190,Hawaii,Sr,-,Raleigh (NC),Word of God Christian Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bullock_Quandre_latech23.jpg,4.0,"Raleigh, North Carolina",United States,Draft Eligible in 2026
David Bumpass,G,6-3,180,Morgan State,Fr,-,Washington (DC),Friendship Collegiate Academy Public Charter School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bumpass_David_mor25.jpg,4.0,"Washington, District of Columbia",United States,Draft Eligible in 2029
Niko Bundalo,C,6-10,205,Ole Miss,Fr,-,Uniontown (OH),Prolific Prep (CA),https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bundalo_Niko_olemiss25.jpg,7.0,"Uniontown, Ohio",United States,Draft Eligible in 2029
Kernan Bundy,G,6-2,190,UMKC,Sr,-,Overland Park (KS),Blue Valley North High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Bundy_Kernan_iona24.jpg,11.0,"Overland Park, Kansas",United States,Draft Eligible in 2026
Uzziah Buntyn,G,6-0,145,South Dakota,Fr,-,Round Rock (TX),Stony Point High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buntyn_Uzziah_sd25.jpg,1.0,"Round Rock, Texas",United States,Draft Eligible in 2029
Bahn Buom,F,6-8,175,Boise State,Fr,-,Mount Pleasant (UT),Link Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Buom_Bhan_bsu25.jpg,3.0,"Mount Pleasant, Utah",United States,Draft Eligible in 2029
